title,director,cast,country,release_year,rating,duration,genre,type,imdb_score
Avengement,Jesse V. Johnson,"Scott Adkins, Craig Fairbrass, Thomas Turgoose, Nick Moran, Kierston Wareing, Mark Strange, Leo Gregory, Luke LaFontaine, Beau Fowler, Dan Styles",United Kingdom,2019,TV-MA,88 min,Action & Adventure,Movie,6.5
Clive Davis: The Soundtrack of Our Lives,Chris Perkel,Clive Davis,United States,2017,TV-14,124 min,"Documentaries, Music & Musicals",Movie,7.4
Sebastian Maniscalco: What's Wrong with People?,Manny Rodriguez,Sebastian Maniscalco,United States,2012,TV-14,76 min,Stand-Up Comedy,Movie,8.0
Los Tigres del Norte at Folsom Prison,Tom Donahue,Los Tigres del Norte,United States,2019,TV-PG,64 min,"Documentaries, International Movies, Music & Musicals",Movie,7.0
The Outsider,Timothy Woodward Jr.,"Jon Foo, Trace Adkins, Sean Patrick Flanery, Kaiwi Lyman, Nelli Tsay, Danny Trejo, Mitchell L. Johnson, Philip V. Bruenn",United States,2019,TV-MA,86 min,Movies,Movie,6.2
The Outsider,Martin Zandvliet,"Jared Leto, Tadanobu Asano, Kippei Shiina, Shioli Kutsuna, Emile Hirsch, Raymond Nicholson, Rory Cochrane, Nao Omori, Min Tanaka",United States,2018,TV-MA,121 min,"Dramas, Thrillers",Movie,6.2
"Hello, Privilege. It's Me, Chelsea",Alex Stapleton,Chelsea Handler,United States,2019,TV-MA,65 min,Documentaries,Movie,4.5
Shanghai Fortress,Teng Huatao,"Lu Han, Shu Qi, Shi Liang, Godfrey Gao, Wang Gongliang, Wang Sen, Sun Jialing, Vincent Matile",China,2019,TV-14,107 min,"Dramas, International Movies, Romantic Movies",Movie,4.3
Tall Girl,Nzingha Stewart,"Ava Michelle, Griffin Gluck, Sabrina Carpenter, Paris Berelc, Luke Eisner, Clara Wilsey, Anjelika Washington, Rico Paris, Angela Kinsey, Steve Zahn",United States,2019,TV-PG,103 min,"Children & Family Movies, Comedies, Romantic Movies",Movie,5.2
Bill Burr: Paper Tiger,Mike Binder,Bill Burr,"United States, United Kingdom",2019,TV-MA,67 min,Stand-Up Comedy,Movie,8.1
Article 15,Anubhav Sinha,"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra, Isha Talwar, Sayani Gupta, Mohammed Zeeshan Ayyub, Subhrajyoti Barat, Sushil Pandey, Aakash Dabhade",India,2019,TV-MA,125 min,"Dramas, International Movies, Thrillers",Movie,8.2
Ee Nagaraniki Emaindi,Tharun Bhascker,"Vishwaksen Naidu, Sushanth Reddy, Abhinav Gomatam, Venkatesh Kakumanu, Anisha Ambrose, Simran Choudhary",India,2018,TV-14,133 min,"Comedies, International Movies",Movie,7.9
Saawan,Farhan Alam,"Karam Hussain, Arif Bahlim, Najiba Faiz, Saleem Mairaj, Imran Aslam, Daniyal Yousuf, Sohail Malik, Ali Hafiz",Pakistan,2016,TV-14,128 min,"Dramas, Independent Movies, International Movies",Movie,7.3
First Kill,Steven C. Miller,"Hayden Christensen, Bruce Willis, Gethin Anthony, Megan Leonard, Tyler Jon Olson, Shea Buckner, William DeMeo, Magi Avila, Ty Shelton, Christine Dye","United Kingdom, Canada, United States",2017,R,102 min,Action & Adventure,Movie,6.4
Mokalik (Mechanic),Kunle Afolayan,"Tooni Afolayan, Ayo Ogunshina, Dayo Akinpelu, Simi Ogunleye, Femi Adebayo, Lateef Adedimeji, Damilola Ogunsi, Rasaq Olayiwola, Ayo Adesanya, Wale Akorede, Toyosi Benjamin, Hamzat Sherifdeen, Samuel Olasehinde",Nigeria,2019,TV-14,100 min,"Dramas, International Movies",Movie,6.2
Phone Swap,Kunle Afolayan,"Wale Ojo, Nse Ikpe-Etim, Lydia Forson, Joke Silva, Chika Okpala, Ada Ameh, Hafeez Oyetoro, Chika Chukwu",Nigeria,2012,TV-14,112 min,"Comedies, International Movies, Romantic Movies",Movie,6.2
The Bridge,Kunle Afolayan,"Chidinma Ekile, Ademola Adedoyin, Kunle Afolayan, Zack Orji, Tina Mba, Ayo Akinwale, Akim Mogaji, Ayo Mogaji, Ken Erics",Nigeria,2017,TV-14,119 min,"Dramas, International Movies, Romantic Movies",Movie,5.6
The CEO,Kunle Afolayan,"Wale Ojo, Jimmy Jean-Louis, Hilda Dokubo, Nico Panagio, Aurélie Eliam, Peter King Nzioki Mwania, Fatym Layachi, Kemi Lala Akindoju, Angélique Kidjo",Nigeria,2016,TV-14,109 min,"Dramas, International Movies, Thrillers",Movie,5.6
The Lake House,Alejandro Agresti,"Keanu Reeves, Sandra Bullock, Dylan Walsh, Shohreh Aghdashloo, Ebon Moss-Bachrach, Lynn Collins, Willeke van Ammelrooy, Christopher Plummer",United States,2006,PG,98 min,"Dramas, Romantic Movies, Sci-Fi & Fantasy",Movie,6.8
The Saint,Phillip Noyce,"Val Kilmer, Elisabeth Shue, Rade Serbedzija, Valeriy Nikolaev, Henry Goodman, Alun Armstrong, Michael Byrne, Evgeniy Lazarev, Irina Apeksimova, Lev Prygunov",United States,1997,PG-13,116 min,"Action & Adventure, Romantic Movies",Movie,4.9
The Saint,Ernie Barbarash,"Adam Rayner, Eliza Dushku, Ian Ogilvy, James Remar, Roger Moore, Enrique Murciano, Thomas Kretschmann, Beatrice Rosen, Greg Grunberg, Yani Gellman",United States,2017,TV-14,92 min,Action & Adventure,Movie,4.9
Uncle Naji in UAE,Ahmed Zain,"Ibrahim Almeirasi, Ahmed Saif, Alia Almannai, Mohamed Morshed, Mohamed Alkendi, Tariq Almuhairi",United Arab Emirates,2019,TV-14,95 min,"Comedies, International Movies",Movie,5.0
Mi amigo Alexis,Alejandro Fernández Almendras,"Luciano González, Alexis Sánchez, Daniel Muñoz, Ignacia Uribe, Marco Baeza, Manuela Oyarzún, Camilo Carmona, Alejandra Yañez, Lorna Campos, Gustavo Becerra",Chile,2019,TV-PG,102 min,"Children & Family Movies, Comedies, Dramas",Movie,5.1
Unbridled,Jota Linares,"Natalia de Molina, Daniel Grao, Natalia Mateo, Ignacio Mateos, Borja Luna, Mario Tardón, Mariana Cordero",Spain,2018,TV-MA,100 min,"International Movies, Thrillers",Movie,5.0
Falling Inn Love,Roger Kumble,"Christina Milian, Adam Demos, Jeffrey Bowyer-Chapman, Anna Jullienne, Claire Chitham, Blair Strang, Jonathan Martin, William Walker, Daniel Watterson, Simone Walker",United States,2019,TV-PG,98 min,"Comedies, Romantic Movies",Movie,5.6
Kardec,Wagner de Assis,"Leonardo Medeiros, Sandra Corveloni, Genezio de Barros, Guilherme Piva, Leonardo Franco, Dalton Vigh, Charles Baudin, Julia Konrad",Brazil,2019,TV-14,110 min,"Dramas, Faith & Spirituality, International Movies",Movie,6.1
Travis Scott: Look Mom I Can Fly,White Trash Tyler,Travis Scott,United States,2019,TV-MA,85 min,"Documentaries, Music & Musicals",Movie,6.3
Dave Chappelle: Sticks & Stones,Stan Lathan,Dave Chappelle,United States,2019,TV-MA,66 min,Stand-Up Comedy,Movie,8.4
Kaake Da Viyah,Rai Yuvraj Bains,"Priti Sapru, Nirmal Rishi, Jordan Sandhu, Prabh Grewal, Karamjit Anmol, Harby Sangha, Gurmeet Sajan, Prince Kanwaljit Singh",India,2019,TV-PG,133 min,"Comedies, Dramas, International Movies",Movie,5.1
Marriage Palace,Sunil Thakur,"Sharry Mann, Payal Rajput, Jaswinder Bhalla, B.N. Sharma, Harby Sangha, Nirmal Rishi, Anita Devgan, Rupinder Roopi",India,2018,TV-14,135 min,"Comedies, International Movies",Movie,6.2
Mayday Life,Muh Chen,"Mayday, Huang Bo, Tony Leung Ka-fai","China, Taiwan",2019,TV-PG,120 min,"International Movies, Music & Musicals",Movie,6.7
Saavat,Saurabh Sinha,"Smita Tambe, Milind Shirole, Shwetambari Ghute, Shitanshu Kumar Sharad, Nishikant Rawji, Sanjivani Khanvilkar",India,2019,TV-14,118 min,"Dramas, Independent Movies, International Movies",Movie,6.5
The Girl Allergic to Wi-Fi,Jun Lana,"Sue Ramirez, Jameson Blake, Markus Paterson, Angellie Saño",Philippines,2018,TV-MA,104 min,"International Movies, Romantic Movies",Movie,6.2
Sextuplets,Michael Tiddes,"Marlon Wayans, Bresha Webb, Michael Ian Black, Glynn Turman, Molly Shannon, Debbi Morgan",United States,2019,TV-14,100 min,Comedies,Movie,4.4
The Little Switzerland,Kepa Sojo,"Jon Plazaola, Maggie Civantos, Ingrid García Jonsson, Lander Otaola, Secun de la Rosa, Ramón Barea, Maribel Salas, Mikel Losada, Pepe Rapazote, Enrique Villén, Kandido Uranga, Anabela Teixeira, Karra Elejalde, Antonio Resines",Spain,2019,TV-MA,86 min,"Comedies, International Movies",Movie,4.8
Uyare,Manu Ashokan,"Parvathy, Asif Ali, Tovino Thomas, Siddique, Pratap Pothan, Samyuktha Menon, Anarkali Marikar, Prem Prakash",India,2019,TV-14,119 min,"Dramas, International Movies",Movie,8.0
90 ML,Anita Udeep,"Oviya, Masoom Shankar, Bommu Lakshmi, Monisha Ram, Tej Raj, Shree Gopika, Anson Paul, Devadarshini Chetan",India,2019,TV-14,123 min,"Comedies, International Movies, Music & Musicals",Movie,3.3
Calum von Moger: Unbroken,Vlad Yudin,Calum Von Moger,United States,2019,TV-MA,93 min,"Documentaries, Sports Movies",Movie,6.2
Rocko's Modern Life: Static Cling,"Joe Murray, Cosmo Segurson","Carlos Alazraqui, Tom Kenny, Charlie Adler, Jill Talley, Mr. Lawrence, Joe Murray",United States,2019,TV-Y7,46 min,"Children & Family Movies, Comedies, LGBTQ Movies",Movie,6.9
Badla,Sujoy Ghosh,"Amitabh Bachchan, Taapsee Pannu, Amrita Singh, Tony Luke, Manav Kaul",India,2019,TV-14,117 min,"International Movies, Thrillers",Movie,7.8
Theo Von: No Offense,John Asher,Theo Von,United States,2016,TV-MA,67 min,Stand-Up Comedy,Movie,5.6
Crazy Beautiful You,Mae Czarina Cruz,"Kathryn Bernardo, Daniel Padilla, Lorna Tolentino, Gabby Concepcion, Inigo Pascual",Philippines,2015,TV-PG,114 min,"Comedies, Dramas, International Movies",Movie,7.0
Enter the Anime,Alex Burunova,"Kozo Morishita, Yoko Takahashi, Shinji Aramaki, Kenji Kamiyama","United States, Japan",2019,TV-MA,59 min,"Documentaries, International Movies",Movie,2.6
No One Will Ever Know,Jesús Torres Torres,"Adriana Paz, Jorge A. Jiménez, David Medel, Arcelia Ramírez, Luciano Marti, Joanna Larequi, Claudia Santiago, Paul Choza, Gabriel Casanova, Alisson Santiago, Manuel Ojeda, Ofelia Medina, Silvia Pasquel",Mexico,2017,TV-MA,102 min,"Dramas, International Movies",Movie,6.2
Uriyadi 2,Vijay Kumar,"Vijay Kumar, Vismaya, Shankar Thas, Abbas, Sudhakar, Durai Ramesh",India,2019,TV-MA,116 min,"Dramas, International Movies",Movie,7.1
3 Idiots,Rajkumar Hirani,"Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Javed Jaffrey",India,2009,PG-13,164 min,"Comedies, Dramas, International Movies",Movie,8.4
Ferrari Ki Sawaari,Rajesh Mapuskar,"Sharman Joshi, Boman Irani, Ritwik Sahore, Paresh Rawal, Deepak Shirke, Satyadeep Misra, Aakash Dabhade, Nilesh Diwekar, Vidya Balan",India,2012,TV-PG,133 min,"Comedies, International Movies, Sports Movies",Movie,6.4
Manu,Phanindra Narsetti,"Raja Goutham, Chandini Chowdary, Bomma Sreedhar, John Kottoly, Srikanth Mullagiri, Ravi Teja",India,2018,TV-MA,177 min,"Dramas, Independent Movies, International Movies",Movie,7.6
Something's Gotta Give,Nancy Meyers,"Jack Nicholson, Diane Keaton, Keanu Reeves, Frances McDormand, Amanda Peet, Jon Favreau, Paul Michael Glaser, Rachel Ticotin",United States,2003,PG-13,128 min,"Comedies, Romantic Movies",Movie,6.7
Wazir,Bejoy Nambiar,"Amitabh Bachchan, Farhan Akhtar, Aditi Rao Hydari, Manav Kaul, Neil Nitin Mukesh, John Abraham",India,2016,TV-MA,98 min,"Dramas, International Movies, Thrillers",Movie,7.2
The Red Sea Diving Resort,Gideon Raff,"Chris Evans, Michael Kenneth Williams, Haley Bennett, Alessandro Nivola, Michiel Huisman, Alex Hassell, Mark Ivanir, Chris Chalk, Greg Kinnear, Ben Kingsley","Canada, United States",2019,TV-MA,130 min,"Dramas, Thrillers",Movie,6.6
Eerie,Mikhail Red,"Bea Alonzo, Jake Cuenca, Maxene Magalona, Charo Santos, Mary Joy Apostol, Gabby Padilla, Gillian Vicencio","Philippines, Singapore",2019,TV-14,100 min,"Horror Movies, International Movies",Movie,4.6
Connected,Benny Chan,"Louis Koo, Barbie Hsu, Nick Cheung, Liu Ye, Louis Fan, Eddie Cheung, Flora Chan, Gong Beibi","China, Hong Kong",2008,TV-MA,111 min,"Action & Adventure, International Movies",Movie,6.6
Connected,Benny Chan,"Louis Koo, Barbie Hsu, Nick Cheung, Liu Ye, Louis Fan, Eddie Cheung, Flora Chan, Gong Beibi","China, Hong Kong",2008,TV-MA,111 min,"Action & Adventure, International Movies",Movie,7.5
D.L. Hughley: Contrarian,Jay Chapman,D.L. Hughley,United States,2018,TV-MA,58 min,Stand-Up Comedy,Movie,6.5
Demetri Martin: The Overthinker,"Jay Karas, Demetri Martin",Demetri Martin,United States,2018,TV-MA,56 min,Stand-Up Comedy,Movie,7.2
The Midas Touch,Chi Keung Fung,"Chapman To, Charlene Choi, Gao Yunxiang, Shatina Chen, Alice Li, Jiayu Xie, Jiemeng Zhuang, Venus Wong, Ching-Wan Hui, Jennifer Zhang",Hong Kong,2013,TV-14,98 min,"Comedies, International Movies",Movie,5.0
Twins Mission,To-hoi Kong,"Sammo Kam-Bo Hung, Gillian Chung, Charlene Choi, Wu Jing, Yuen Wah, Jess Zhang, Steven Cheung, Lier Qiu, Shek Sau, Sam Lee, Andy Liang","Hong Kong, China",2007,TV-14,102 min,"Action & Adventure, International Movies",Movie,5.2
"¡Ay, mi madre!",Frank Ariza,"Estefanía de los Santos, Secun de la Rosa, Terele Pávez, María Alfonsa Rosso, Mariola Fuentes, Alfonso Sánchez, Paz Vega, Marta Torné, Concha Galán",Spain,2019,TV-MA,81 min,"Comedies, International Movies",Movie,3.9
Secret Obsession,Peter Sullivan,"Brenda Song, Mike Vogel, Dennis Haysbert, Ashley Scott, Paul Sloan, Daniel Booko",United States,2019,TV-14,98 min,Thrillers,Movie,4.4
Mauli,Aditya Sarpotdar,"Riteish Deshmukh, Saiyami Kher, Jitendra Joshi, Siddarth Jadhav, Shrikant Yadav, Vijay Nikam, Umesh Jagtap, Usha Naik, Girija Oak, Genelia D'Souza",India,2018,TV-14,136 min,"Action & Adventure, Dramas, International Movies",Movie,5.5
Cities of Last Things,Wi Ding Ho,"Jack Kao, Lee Hong-chi, Louise Grinberg, Huang Lu, Ding Ning","Taiwan, China, France, United States",2018,TV-MA,106 min,"Dramas, Independent Movies, International Movies",Movie,6.2
Kidnapping Stella,Thomas Sieben,"Max von der Groeben, Jella Haase, Clemens Schick",Germany,2019,TV-MA,90 min,"Dramas, International Movies, Thrillers",Movie,4.9
Point Blank,Joe Lynch,"Frank Grillo, Anthony Mackie, Marcia Gay Harden, Teyonah Parris, Boris McGiver, Christian Cooke, Markice Moore","France, United States",2019,TV-MA,87 min,Action & Adventure,Movie,5.7
Katherine Ryan: Glitter Room,Linda Mendoza,Katherine Ryan,United States,2019,TV-MA,66 min,Stand-Up Comedy,Movie,6.7
Starsky & Hutch,Todd Phillips,"Ben Stiller, Owen Wilson, Vince Vaughn, Juliette Lewis, Snoop Dogg, Fred Williamson, Jason Bateman, Amy Smart, Carmen Electra, George Cheung",United States,2004,PG-13,101 min,"Action & Adventure, Comedies",Movie,6.1
Taxi Driver,Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd, Peter Boyle, Albert Brooks, Leonard Harris, Harvey Keitel, Murray Moston, Richard Higgs, Victor Argo, Steven Prince, Martin Scorsese",United States,1976,R,114 min,"Classic Movies, Dramas, Thrillers",Movie,8.2
Taxi Driver,Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd, Peter Boyle, Albert Brooks, Leonard Harris, Harvey Keitel, Murray Moston, Richard Higgs, Victor Argo, Steven Prince, Martin Scorsese",United States,1976,R,114 min,"Classic Movies, Dramas, Thrillers",Movie,6.0
The Book of Eli,"Albert Hughes, Allen Hughes","Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson, Jennifer Beals, Evan Jones, Joe Pingue, Frances de la Tour, Michael Gambon, Tom Waits",United States,2010,R,118 min,"Action & Adventure, Sci-Fi & Fantasy",Movie,6.8
Inhuman Kiss,Sittisiri Mongkolsiri,"Phantira Pipityakorn, Oabnithi Wiwattanawarang, Sapol Assawamunkong, Surasak Vongthai, Sahatchai 'Stop' Chumrum, Sahajak Boonthanakit, Makorn Supinacharoen, Sasithorn Panichnok",Thailand,2019,TV-MA,122 min,"Horror Movies, International Movies, Romantic Movies",Movie,6.4
Romeo Akbar Walter,Robbie Grewal,"John Abraham, Jackie Shroff, Mouni Roy, Sikander Kher, Raghuvir Yadav, Alka Amin, Rajesh Shringarpure, Anil George",India,2019,TV-14,141 min,"Dramas, International Movies, Thrillers",Movie,6.6
Super Deluxe,Thiagarajan Kumararaja,"Vijay Sethupathi, Fahadh Faasil, Samantha Ruth Prabhu, Ramya Krishnan, Mysskin, Gayathrie, Ashwanth Ashok Kumar, Bagavathi Perumal",India,2019,TV-MA,176 min,"Comedies, Dramas, International Movies",Movie,8.4
El testigo,Kate Horne,Jesús Abad Colorado,Dominican Republic,2018,TV-14,73 min,"Documentaries, International Movies",Movie,8.1
La Leyenda del Diamante,Roberto Girault Facha,"Ana Layevska, Alex Sirvent, Paulina Goto, Fernando Estrada, Alejandro Oliva, David Villegas, Xavier Cervantes, Cuauhtémoc Duque, Karyme Lozano, Rodrigo Treviño",Mexico,2017,TV-MA,87 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy",Movie,3.3
The Chosen One,Michel Tikhomiroff,"Paloma Bernardi, Renan Tenca, Gutto Szuster, Pedro Caetano, Mariano Mattos Martins, Alli Willow, Kiko Vianello, Francisco Gaspar, Tuna Dwek, Lourinelson Vladmir, Leonardo Ventura, Aury Porto, Glauber Amaral, Astrea Lucena",Brazil,2019,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries",TV Show,5.7
Daniel Sosa: Maleducado,"Alex Díaz, Marcos Bucay",Daniel Sosa,Mexico,2019,TV-MA,55 min,Stand-Up Comedy,Movie,6.1
Mike Epps: Only One Mike,Kevin Bray,Mike Epps,United States,2019,TV-MA,63 min,Stand-Up Comedy,Movie,4.7
Tottaa Pataaka Item Maal,Aditya Kripalani,"Shalini Vatsa, Chitrangada Chakraborty, Vinay Sharma, Sonal Joshi, Kritika Pande",India,2018,TV-MA,107 min,"Dramas, Independent Movies, International Movies",Movie,7.6
Blood Will Tell,"Miguel Cohan, Miguel Cohan","Oscar Martínez, Dolores Fonzi, Diego Velázquez, Paulina Garcia, Luis Gnecco, Malena Sánchez, Emilio Vodanovich, Norman Briski","Argentina, United States",2019,TV-MA,113 min,"Dramas, Independent Movies, International Movies",Movie,6.1
Rakkhosh,"Abhijit Kokate, Srivinay Salian","Sanjay Mishra, Priyanka Bose, Tannishtha Chatterjee, Barun Chanda, Sonamoni Jayant Gadekar, Ashwath Bhatt, Atul Mahale",India,2019,TV-MA,116 min,"Horror Movies, Independent Movies, International Movies",Movie,4.8
The Wolf's Call,Antonin Baudry,"François Civil, Omar Sy, Mathieu Kassovitz, Reda Kateb, Paula Beer, Alexis Michalik, Jean-Yves Berteloot, Damien Bonnard, Pierre Cevaër, Sébastien Libessart",France,2019,TV-14,116 min,"Dramas, International Movies, Thrillers",Movie,6.9
Beats,Chris Robinson,"Khalil Everage, Anthony Anderson, Uzo Aduba, Emayatzy Corinealdi, Paul Walter Hauser, Dave East, Seandrea Sledge, Ashley Jackson, Megan Sousa",United States,2019,TV-MA,110 min,"Dramas, Independent Movies, Music & Musicals",Movie,6.3
Adam Devine: Best Time of Our Lives,Jay Karas,Adam Devine,United States,2019,TV-MA,59 min,Stand-Up Comedy,Movie,5.9
Right Here Right Now,Jakob Lass,"Niklas Bruhn, David Schütter, Tinka Furst, Corinna Harfouch, Bela B. Felsenheimer, Martina Schöne-Radunski, Mathias Bloech, Tanna Barthel, Felix Maria Zeppenfeld, Kalle Schwensen",Germany,2018,TV-MA,91 min,"Comedies, Dramas, Independent Movies",Movie,5.4
Pihu,Vinod Kapri,Pihu Myra Vishwakarma,India,2018,TV-14,90 min,"Dramas, Independent Movies, International Movies",Movie,6.7
Murder Mystery,Kyle Newacheck,"Adam Sandler, Jennifer Aniston, Luke Evans, Gemma Arterton, Adeel Akhtar, Luis Gerardo Méndez, Dany Boon, Terence Stamp",United States,2019,PG-13,98 min,Comedies,Movie,6.0
The 3rd Eye 2,Rocky Soraya,"Jessica Mila, Bianca Hello, Nabilah Ayu, Sophia Latjuba, Jeremy Thomas",Indonesia,2019,TV-MA,117 min,"Horror Movies, International Movies",Movie,5.4
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,Martin Scorsese,"Bob Dylan, Allen Ginsberg, Joan Baez, Patti Smith, Roger McGuinn, Sam Shepard, Sharon Stone, Joni Mitchell, Scarlet Rivera, Ramblin' Jack Elliott, Ronnie Hawkins, Anne Waldman, Ronee Blakley",United States,2019,TV-MA,142 min,"Documentaries, Music & Musicals",Movie,7.6
Belmonte,Federico Veiroj,"Gonzalo Delgado, Olivia Molinaro Eijo, Jeannette Sauksteliskis, Tomás Wahrmann, María Noel Gutiérrez, Marcelo Fernández Borsari, Alejandro Castiglioni, Cecilia Caballero Jeske, Martín Reyes, Carolina Penadés","Uruguay, Spain, Mexico",2018,TV-MA,74 min,"Dramas, Independent Movies, International Movies",Movie,6.1
Elisa & Marcela,Isabel Coixet,"Natalia de Molina, Greta Fernández, Sara Casasnovas, Tamar Novas, Kelly Lua, Manuel Lourenzo, Jorge Suquet, Ana Santos, Mariana Carballal, Roberto Leal, Luisa Merelas, Amparo Moreno, Lluís Homar, Manolo Solo, María Pujalte, Francesc Orella",Spain,2019,TV-MA,119 min,"Dramas, International Movies, LGBTQ Movies",Movie,6.6
I Am Mother,Grant Sputore,"Clara Rugaard, Rose Byrne, Hilary Swank, Luke Hawker",Australia,2019,TV-14,114 min,"International Movies, Sci-Fi & Fantasy, Thrillers",Movie,6.7
Luka Chuppi,Laxman Utekar,"Kartik Aaryan, Kriti Sanon, Pankaj Tripathi, Vinay Pathak, Aparshakti Khurana, Atul Srivastava, Alka Amin",India,2019,TV-14,125 min,"Comedies, International Movies, Romantic Movies",Movie,6.3
Pachamama,Juan Antin,"Adam Moussamih, Charli Birdgenau, Vlastra Vrana, Sonja Ball, Alexandre Harough","France, Luxembourg, Canada",2019,PG,71 min,Children & Family Movies,Movie,6.8
Stree,Amar Kaushik,"Rajkummar Rao, Shraddha Kapoor, Pankaj Tripathi, Aparshakti Khurana, Abhishek Banerjee, Atul Srivastava",India,2018,TV-MA,127 min,"Comedies, Horror Movies, Independent Movies",Movie,7.5
The Black Godfather,Reginald Hudlin,"Clarence Avant, Quincy Jones",United States,2019,TV-MA,118 min,"Documentaries, Music & Musicals",Movie,7.4
Everybody Knows,Asghar Farhadi,"Penélope Cruz, Javier Bardem, Ricardo Darín, Eduard Fernández, Bárbara Lennie, Inma Cuesta, Elvira Mínguez, Ramón Barea, Carla Campra, Sara Sálamo, Roger Casamajor, José Ángel Egido","Spain, France, Italy",2019,R,133 min,"Dramas, International Movies, Thrillers",Movie,6.9
